Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/19/25,HOUSING AND URBAN DEVELOPMENT,EO14042 Administative modification.,"$608,097 ",Delivery/Task Order,Final,86614924F00048,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866149,CPO : CPO; ACFO; WFCOD; REAL ESTATE,EHJKHN7FE8D7,"ECONOMETRICA, INC.",MARYLAND 08,208143496,"Corporate Entity, Not Tax Exempt",,,B545,SPECIAL STUDIES/ANALYSIS- HOUSING/COMMUNITY,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614924F00048&modNumber=P00002&idvAgencyID=&idvPIID=GS00F101CA&contractType=AWARD
2/19/25,HOUSING AND URBAN DEVELOPMENT,Relocation Options for Households at Risk from Natural Hazards,"$478,835 ",Delivery/Task Order,Final,86614923F00036,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866149,CPO : CPO; ACFO; WFCOD; REAL ESTATE,LT42VRTKZGS9,2M RESEARCH SERVICES LLC,TEXAS 25,760115522,"Corporate Entity, Not Tax Exempt",Black American Owned,"SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",B507,SPECIAL STUDIES/ANALYSIS- ECONOMIC,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614923F00036&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=AWARD
2/20/25,HOUSING AND URBAN DEVELOPMENT,Notice of termination-Cohort 2 Older Adult Home Modification (OAHM),"$1,019,271 ",Definitive Contract,Final,86614623C00005,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,CFUWJGQUWNL8,"HEALTHY HOUSING SOLUTIONS, INC.",MARYLAND 03,210443344,"Corporate Entity, Not Tax Exempt",,,B545,SPECIAL STUDIES/ANALYSIS- HOUSING/COMMUNITY,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614623C00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/20/25,HOUSING AND URBAN DEVELOPMENT,Termination for the Government's Convenience,"$938,109 ",Delivery/Task Order,Final,86614623F00008,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,VX6EUGMAFJK4,"SP TECHNOLOGIES, LLC",VIRGINIA 11,221024285,Partnership or Limited Liability Partnership,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614623F00008&modNumber=P00007&idvAgencyID=&idvPIID=47QRAA18D009J&contractType=AWARD
2/20/25,HOUSING AND URBAN DEVELOPMENT,Termination for Convenience,"$725,846 ",Delivery/Task Order,Final,86614623F00003,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,EHFHSLDMYCJ5,SOCIAL POLICY RESEARCH ASSOCIAT,CALIFORNIA 12,946121966,"Corporate Entity, Not Tax Exempt",,,B545,SPECIAL STUDIES/ANALYSIS- HOUSING/COMMUNITY,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614623F00003&modNumber=P00004&idvAgencyID=&idvPIID=GS10F0281S&contractType=AWARD
2/21/25,HOUSING AND URBAN DEVELOPMENT,Outward Mindset TM Training Services for HUD staff Enterprise Wide,"$2,000,000 ",BPA,Final,86614324A00007,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,XDJYKQ4BVTJ3,"ARBINGER COMPANY, THE",UTAH 02,840253067,"Corporate Entity, Not Tax Exempt",,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324A00007&modNumber=P00001&idvAgencyID=&idvPIID=GS10F099AA&contractType=IDV
2/21/25,HOUSING AND URBAN DEVELOPMENT,FOIA PROCESS IMPROVEMENT,"$747,400 ",Definitive Contract,Final,86614324C00006,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,Y5DPUK3WLT91,"ACQUISITION SOLUTIONS EAGLES, LL",VIRGINIA 08,223062800,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Small Business Joint Venture","SBA Certified 8(a) Joint Venture
Self-Certified Small Disadvantaged Business
Self-Certified HUBZone Joint Venture",R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324C00006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/24/25,HOUSING AND URBAN DEVELOPMENT,"Lead Hazard Control Support Services - Mod to Terminate for
Convenience","$239,548 ",BPA Call,Final,8600 86614122F00036,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,8600,866141,CPO : CHICAGO OPERATIONS BRANCH,TEDJD84JJSY5,"QUANTECH, INC.",MARYLAND 08,208523934,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614122F00036&modNumber=P00005&idvAgencyID=&idvPIID=86614122A00004&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Notice of Termination of Convenience -
(Limit 250 characters)
Ginnie Mae Optimization and Transformation (G.O.A.T.) - Partial
Current: 202
Termination of Convenience to Deloitte dated 02/11/25, terminating
k 2 3 (C 0002 0003)","$41,714,367 ",BPA Call,Final,47QFDA25F0007,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,4732,47QFDA,GSA FAS AAS REGION 11,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA25F0007&modNumber=P00001&idvAgencyID=&idvPIID=47QFDA19A0008&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Energy and Water Benchmarking Services,"$23,520,425 ",Delivery/Task Order,Final,86615723F00004,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,JSTDGZNFP4A3,"LEIDOS, INC.",VIRGINIA 11,201905617,"Corporate Entity, Not Tax Exempt",,,B510,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSE,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615723F00004&modNumber=P00003&idvAgencyID=&idvPIID=GS35F116AA&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Notice of Termination for Convenience -
Partial Termination as of 2/10/2025 terminating Task 5 and Task 6
for Option Years 1 through 4 for Ginnie Mae Business Solutions and","$22,856,299 ",Delivery/Task Order,Final,47QFDA24F0003,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,4732,47QFDA,GSA FAS AAS REGION 11,GSF4STFFLXF8,FALCON CAPITAL ADVISORS LLC,VIRGINIA 08,223142301,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Hispanic American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R703,SUPPORT- MANAGEMENT: ACCOUNTING,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA24F0003&modNumber=P00003&idvAgencyID=&idvPIID=GS10F074CA&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Notice of Termination for Convenience,"$10,571,047 ",Delivery/Task Order,Final,47QFDA24F0028,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,4732,47QFDA,GSA FAS AAS REGION 11,J7FUYPW933N6,BIXAL SOLUTIONS INCORPORATED,VIRGINIA 11,220302834,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business","DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R699,SUPPORT- ADMINISTRATIVE: OTHER,541330,ENGINEERING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA24F0028&modNumber=P00003&idvAgencyID=&idvPIID=47QRAD20D8176&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Solutions Program Support,"$8,543,052 ",Delivery/Task Order,Final,86615621F00001,P00019,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/11/25,8600,866156,CPO : FHA HOUSING SUPPORT DIVISION,KQUHZMCJGUC5,"SYNEREN TECHNOLOGIES, CORPORA",VIRGINIA 11,222012539,"For Profit Organization
Subchapter S Corporation","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified Small Disadvantaged Business
SBA Certified 8(a) Program Participant",R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615621F00001&modNumber=P00019&idvAgencyID=&idvPIID=HHSN316201200175W&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Notice of Termination for Convenience,"$5,312,561 ",BPA Call,Final,47QFDA23F0032,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,4732,47QFDA,GSA FAS AAS REGION 11,TRKEP1HEBNS5,CGI FEDERAL INC.,VIRGINIA 11,220334920,"Corporate Entity, Not Tax Exempt",,,R617,SUPPORT - ADMINISTRATIVE: ELECTRONIC RECORD,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA23F0032&modNumber=P00003&idvAgencyID=&idvPIID=47QFDA20A0015&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Termination for the Government's Convenience,"$4,841,912 ",Definitive Contract,Final,86615424C00004,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866154,CPO : IT OPERATIONS SUPPORT DIVISION,XQJFSL4MCKR9,AKIMA DATA MANAGEMENT LLC,VIRGINIA 11,201715228,"Corporate Entity, Not Tax Exempt","Alaskan Native Corporation Owned Firm
Minority-Owned Business
Native American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERV,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615424C00004&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Office furniture storage and installation for the Atlanta office.,"$4,832,300 ",BPA Call,Final,86614322F00043,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,GFQJBLPZWC44,"KNOLL, INC.",,18041,"Corporate Entity, Not Tax Exempt, Manufacturer of Goods, For Profit Organization",,,N071,INSTALLATION OF EQUIPMENT- FURNITURE,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614322F00043&modNumber=P00005&idvAgencyID=&idvPIID=86614319A00002&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Accounting and Statistical Analysis Services -Update FAR 52.203-17,"$4,476,275 ",Definitive Contract,Final,86614923C00008,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,8600,866149,CPO : CPO; ACFO; WFCOD; REAL ESTATE,M5TRXJ6YC5B6,"IBSWA GOVERNMENT SOLUTIONS, LLC",DISTRICT OF COLUMBIA 98,200061708,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned",Self-Certified Small Disadvantaged Business,R703,SUPPORT- MANAGEMENT: ACCOUNTING,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614923C00008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Multifamily Assessment Contractors for Green Resilient and Retrofit
Program","$4,325,468 ",BPA Call,Final,86615724F00020,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,"Partnership or Limited Liability Partnership
For Profit Organization",,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00020&modNumber=P00004&idvAgencyID=&idvPIID=86615324A00003&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Provide HUD/OGC Office, Washington, DC Documents Scanning Support
Services.","$2,040,000 ",Definitive Contract,Final,86615124C00003,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/28/25,8600,866151,CPO : MANAGEMENT SUPPORT DIVISION,KJJ4KCV6MM81,STAR COMMUNICATION INC.,DELAWARE 00,197115490,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R617,SUPPORT - ADMINISTRATIVE: ELECTRONIC RECORD,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615124C00003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,HUD Furniture Systems,"$2,029,005 ",BPA Call,Final,86614323F00031,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,GFQJBLPZWC44,"KNOLL, INC.",,18041,"Corporate Entity, Not Tax Exempt
Manufacturer of Goods",,,7110,OFFICE FURNITURE,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614323F00031&modNumber=P00005&idvAgencyID=&idvPIID=86614319A00002&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,FY24/25 Audiovisual Projects for the Office of Digital Enterprise,"$1,415,000 ",BPA Call,Final,8600 86614324F00053,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,MG75EJJPLFZ7,RED CARROT INC,FLORIDA 26,331361128,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",T016,PHOTO/MAP/PRINT/PUBLICATION- AUDIO/VISUAL,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING IN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00053&modNumber=P00001&idvAgencyID=&idvPIID=86614324A00008&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Replacement of Sanitary Piping for the Executive Suites at HUD HQ,"$1,404,010 ",Delivery/Task Order,Final,86614324F00054,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,NLUNVKZ8B5G3,MIDNIGHT SUN AUS LLC,VIRGINIA 11,221822446,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Alaskan Native Corporation Owned Firm
Minority-Owned Business
Native American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",Z2AA,REPAIR OR ALTERATION OF OFFICE BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONST,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00054&modNumber=P00001&idvAgencyID=&idvPIID=86614324D00002&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Modification Termination for Convenience Evaluation of HUD Healthy
Homes and Weatherization Cooperation Demonstration Program Grants","$1,124,556 ",BPA Call,Final,86614122F00032,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,8600,866141,CPO : CHICAGO OPERATIONS BRANCH,TEDJD84JJSY5,"QUANTECH, INC.",MARYLAND 08,208523934,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614122F00032&modNumber=P00006&idvAgencyID=&idvPIID=86614122A00004&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Integrated employment page with automated hiring event information,"$893,750 ",Purchase Order,Final,86615324P00003,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/27/25,8600,866153,CPO : IT PROGRAM SUPPORT DIVISION; NO,X1JJYEW4HAN9,FOUR LLC,VIRGINIA 11,201716354,"Partnership or Limited Liability Partnership
For Profit Organization
Limited Liability Corporation",,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615324P00003&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"10th Floor OGC office build-out in the central building core (rooms
10131-10135) renovation","$878,320 ",Delivery/Task Order,Final,8600 86614324F00039,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,NLUNVKZ8B5G3,MIDNIGHT SUN AUS LLC,VIRGINIA 11,221822446,"Corporate Entity, Not Tax Exempt","Alaskan Native Corporation Owned Firm
Minority-Owned Business
Native American Owned
For Profit Organization
Limited Liability Corporation","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",Z2AA,REPAIR OR ALTERATION OF OFFICE BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONST,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00039&modNumber=P00001&idvAgencyID=&idvPIID=86614324D00002&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Creating a data set free of errors such that the summary statistics
reported by HUD and VA agree concerning Veterans Administration
Supportive Housing (VASH) Program.","$783,953 ",Definitive Contract,Final,86614822C00007,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,XBQAX9R8K3V9,IT DATA CONSULTING LLC,VIRGINIA 11,201913429,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Minority-Owned Business
Black American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R702,SUPPORT- MANAGEMENT: DATA COLLECTION,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614822C00007&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Office of Administration PMO Support and Strategy,"$750,000 ",BPA Call,Final,86614324F00020,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,"Partnership or Limited Liability Partnership
For Profit Organization",,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00020&modNumber=P00002&idvAgencyID=&idvPIID=86614324A00003&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,"Modification to effect the Termination for Convenience notice
(Limit 250 characters) delivered and effective February 13th, 2025.","$596,639 ",Delivery/Task Order,Final,86614122F00040,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,8600,866141,CPO : CHICAGO OPERATIONS BRANCH,CFUWJGQUWNL8,"HEALTHY HOUSING SOLUTIONS, INC.",MARYLAND 03,210443344,"Corporate Entity, Not Tax Exempt",,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,541620,ENVIRONMENTAL CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614122F00040&modNumber=P00006&idvAgencyID=&idvPIID=47QRAA18D00H1&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Graphic Design Support for PD&R,"$343,947 ",Delivery/Task Order,Final,86614620F0005,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,C3X8QMRJVJH5,"DISTRICT COMMUNICATIONS GROUP,",DISTRICT OF COLUMBIA 98,200032991,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,T001,PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS,541910,MARKETING RESEARCH AND PUBLIC OPINION POLLI,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614620F0005&modNumber=P00008&idvAgencyID=&idvPIID=GS07F180AA&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,Integrated Workplace Management System (IWMS) Support and Strategy,"$300,000 ",BPA Call,Final,86614324F00035,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,Partnership or Limited Liability Partnership,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00035&modNumber=P00001&idvAgencyID=&idvPIID=86614324A00003&contractType=AWARD
2/25/25,HOUSING AND URBAN DEVELOPMENT,OCAO Capital Planning Support Services (FY27-FY31),"$300,000 ",BPA Call,Final,86614324F00049,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,ECMMFNMSLXM7,ERNST & YOUNG LLP,NEW YORK 12,100012177,Partnership or Limited Liability Partnership,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00049&modNumber=P00001&idvAgencyID=&idvPIID=86614324A00003&contractType=AWARD
