Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
DEPARTMENT OF TREASURY,EXECUTIVE PROGRAM SUPPORT SERVICESPOP: 6/05/2024-12/04/2026,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524P00050&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,167,798 ",Purchase Order,Final,2032H524P00050,P00003,FUNDING ONLY ACTION,3/4/25,2050,205AE9,IT OPERATIONS,2050,INTERNAL REVENUE SERVICE,2032H9,CHIEF INFORMATION OFFICER,WCBTLVYFN9D5,"COLLABORATION HOUSE, LLC",VIRGINIA 08,220463513,"Corporate Entity, Not Tax Exempt",Hispanic American Owned,SBA Certified 8(a) Joint Venture,6/4/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Executive Program Support Services,
DEPARTMENT OF TREASURY,SECURITY RISK MANAGEMENT (SRM) ARTIFICIAL INTELLIGENCE (AI) LARGE LANGUAGE MODELS (LLM) DEVELOPMENT SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00616&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$1,149,504 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,"TO ISSUE CO #6 FOR DATA GOVERNANCE & DATA CATALOGING SUPPORT SERVICES UNDER GUIDEHOUSE, INC. BPA 2032H322A0003.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2001&PIID=2032H323F00119&modNumber=P00003&idvAgencyID=&idvPIID=2032H322A00003&contractType=AWARD,"$1,043,288 ",BPA Call,Final,2032H323F00119,P00003,OTHER ADMINISTRATIVE ACTION,8/22/24,2001,2032H3,TREASURY OPERATIONS,2001,DEPARTMENTAL OFFICES,2031KV,TREASURY OPERATIONS,N9NJK877QJK9,GUIDEHOUSE INC.,VIRGINIA 11,221023600,"Corporate Entity, Not Tax Exempt",,,8/28/23,,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Call Order #6 for Data Governance & Data Cataloging Support,
DEPARTMENT OF TREASURY,IRS RAAS SECURITY AND PRIVACY PROGRAM IMPLEMENTATION SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00710&modNumber=0&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$704,553 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,508 SUPPORT SERVICES-NEW HIRE INITIATIVE (NHI),2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00160&modNumber=P00002&idvAgencyID=&idvPIID=2032H520D00015&contractType=AWARD,"$607,411 ",Delivery/Task Order,Final,2050 2032H524F00160,P00002,EXERCISE AN OPTION,4/29/24,2050,2032H5,IT STRATEGY AND MODERNIZATION,2050,INTERNAL REVENUE SERVICE,2032H9,CHIEF INFORMATION OFFICER,GGJJKBVXJJL4,BOWHEAD CYBERSECURITY SOLUTIO,VIRGINIA 11,221501822,"Corporate Entity, Not Tax Exempt","Alaskan Native Corporation Owned Firm
Minority-Owned Business
Native American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",3/1/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,508 Support Services-New Hire Initiative (NHI),
DEPARTMENT OF TREASURY,RAAS SUPPORT PLANNING AND INITIATING DATA SECURITY - Data Security Executive Steering Committee,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00532&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$359,995 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,RISK MANAGEMENT LEADERSHIP COUNCIL SUBSCRIPTION (CLASSIC MEMBERSHIP)- BASE YEAR AND TWO (2) OPTION YEARS,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2091JB23P00524&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$105,018 ",Purchase Order,Final,2050 2091JB23P00524,P00002,EXERCISE AN OPTION,8/20/24,2050,2091JB,WORKFORCE DEVELOPMENT-APDP,2050,INTERNAL REVENUE SERVICE,2031HZ,COMMISSIONER,CFALLJBGZ697,"GARTNER, INC.",CONNECTICUT 04,069027700,"Corporate Entity, Not Tax Exempt",,,9/1/23,,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Risk Management Leadership Council Subscription (Classic
(Limit 250 characters)Membership)- Base Year and two (2) Option Years",
DEPARTMENT OF TREASURY,ADMINISTRATIVE SUPPORT SERVICES HEADQUARTERS,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20340921F00001&modNumber=P00005&idvAgencyID=&idvPIID=2032H520A00026&contractType=AWARD,"$104,404 ",BPA Call,Final,20340921F00001,P00005,OTHER ADMINISTRATIVE ACTION,11/9/23,2036,203409,ARC DIV PROC SVCS - MINT,2044,UNITED STATES MINT,2031JG,US MINT HEADQUARTERS,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP.,VIRGINIA 11,201905230,"Corporate Entity, Not Tax Exempt",,,3/31/21,,,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,511210,SOFTWARE PUBLISHERS,ServiceNow Licenses,
DEPARTMENT OF TREASURY,Vendor provides one service wide membership including access to research conducted by organization and social connectivity to other knowledge management professionals in industry.,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=205AE923F00039&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA23D003P&contractType=AWARD,"$44,000 ",Delivery/Task Order,Final,205AE923F00039,P00001,EXERCISE AN OPTION,6/4/24,2050,205AE9,IT OPERATIONS,2050,INTERNAL REVENUE SERVICE,2091JD,CENTRALIZED PAYMENTS,J5KACUM4VXV4,AMERICAN PRODUCTIVITY & QUALITY,TEXAS 38,770247715,"Corporate Entity, Tax Exempt",,,9/30/23,,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"APQC Annual Membership
(Limit 250 characters)
Base and Four Option Years",
DEPARTMENT OF TREASURY,"Printing, Matting and Framing Support Services",3/4/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2046&PIID=2031JW22C00013&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,128,971 ",Definitive Contract,Final,2031JW22C00013,P00009,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,3/12/25,2046,2031JW,COMPTROLLER OF CURRENCY ACQS,2046,OFFICE OF THE COMPTROLLER OF THE C,2031KB,OFFICE OF MANAGEMENT / CFO,NEN8BN9J2C35,"COLABOURS COMMUNICATIONS, INC.",VIRGINIA 06,225544889,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned","SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",6/6/22,,"PRINTING, FRAMING A",R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,541820,PUBLIC RELATIONS AGENCIES,Descope,
DEPARTMENT OF TREASURY,WCF Tour Brochure Distribution and Marketing Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZA24P00511&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$81,555 ",Purchase Order,Final,2031ZA24P00511,P00001,OTHER ADMINISTRATIVE ACTION,1/28/25,2041,2031ZA,OFFICE OF THE CHIEF PROCUREMENT OF,2041,BUREAU OF ENGRAVING AND PRINTING,2031FX,EXTERNAL RELATIONS,HLN2WGLNLE19,CERTIFIED FOLDER DISPLAY SERVICE,CALIFORNIA 49,920817835,"Corporate Entity, Not Tax Exempt",,,6/10/24,,,R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,541870,ADVERTISING MATERIAL DISTRIBUTION SERVICES,Admin changes,
DEPARTMENT OF VETERANS AFFAIRS,LGBTQ+ database,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25722F0129&modNumber=P00003&idvAgencyID=&idvPIID=47QSEA20D000C&contractType=AWARD,"$73,200 ",Delivery/Task Order,Final,36C25722F0129,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/29/25,3600,36C257,257-NETWORK CONTRACT OFFICE 17 (36C,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C674,674-TEMPLE (00674),LXMMX7QSZE39,"EBSCO INDUSTRIES, INC.",,352016818,,,,9/6/22,,,DH10,IT AND TELECOM - PLATFORM AS A SERVICE: DATABA,511120,PERIODICAL PUBLISHERS,SWRC & LGBTQ+ Database Subscription,
DEPARTMENT OF VETERANS AFFAIRS,"THE PURPOSE OF THIS AWARD IF TO OBTAIN VHA, WEB-BASED DATABASE SUBSCRIPTION NEWS SERVICES FOCUSED ON VETERAN'S HEALTHCARE LEGISLATIVE AND REGULATORY POLICY.MODIFICATION P00001- OPTION PERIOD ONE",2/7/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X20C0062&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$178,202 ",Definitive Contract,Final,36C10X20C0062,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/6/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,8/27/20,,,T099,PHOTO/MAP/PRINT/PUBLICATION- OTHER,519130,INTERNET PUBLISHING AND BROADCASTING AND W,"The purpose of this award if to obtain VHA, Web-Based Database
(Limit 250 characters) Subscription News Services Focused on Veteran's Healthcare
Current: 195 Legislative and Regulatory Policy.",
DEPARTMENT OF VETERANS AFFAIRS,CIVIL TREATMENT TRAINING COURSES,2/10/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24C0035&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$289,778 ",Definitive Contract,Final,36C10X24C0035,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/17/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),M9QCVFLQB637,EMPLOYMENT LEARNING INNOVATION,GEORGIA 11,303394052,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",Small Business,,9/30/24,,,R499,SUPPORT- PROFESSIONAL: OTHER,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,Termination Settlement and Deobligation of Excess Funds,
DEPARTMENT OF VETERANS AFFAIRS,"Government Plus Membership/Sponsorship Package or Department of Veterans Affairs, Office of the Secretary",2/10/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24P0056&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$30,000 ",Purchase Order,Final,36C10X24P0056,P00003,CLOSE OUT,2/14/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),QZCWPYCPVUR1,OUT & EQUAL,MARYLAND 08,208528758,"Corporate Entity, Tax Exempt",,,6/12/24,,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,"The purpose of this modification is to update Section B.3 PRICE
(Limit 250 characters) SCHEDULE to de-obligate unexpended funds and Closeout the Order IAW
FAR 4.804 Closeout of Contract Files for Out & Equal Government
l b hi f Offi f th S t",
DEPARTMENT OF VETERANS AFFAIRS,NEWSPAPERS AND PERIODICALS,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25723F0016&modNumber=P00003&idvAgencyID=&idvPIID=47QSEA20D000C&contractType=AWARD,"$1,089,850 ",Delivery/Task Order,Final,36C25723F0016,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/31/25,3600,36C257,257-NETWORK CONTRACT OFFICE 17 (36C,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C549,549-DALLAS (00549),LXMMX7QSZE39,"EBSCO INDUSTRIES, INC.",,352016818,"International Organization
For Profit Organization",,,12/17/22,,,7630,NEWSPAPERS AND PERIODICALS,511120,PERIODICAL PUBLISHERS,Partially termination for Government Convenience,
DEPARTMENT OF VETERANS AFFAIRS,VHA HIGH RELIABILITY ORGANIZATION (HRO) SUPPORT SERVICES BLANKET PURCHASE AGREEMENT: CALL 6 FOR HRO LEADERSHIP TRAINING/COACHING SUPPORT.,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24F0031&modNumber=P00005&idvAgencyID=&idvPIID=36C10X19A0027&contractType=AWARD,"$17,328,041 ",BPA Call,Final,36C10X24F0031,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),DKP2F2S75GG5,COGNOSANTE LLC,VIRGINIA 08,220424552,,,,9/29/24,,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"VHA High Reliability Organization (HRO) Support Services Blanket
(Limit 250 characters)
Purchase Agreement: Call 6 for HRO Leadership Training/Coaching
Current: 180
Support - P00005 Terminate for Convenience per DOGE",
DEPARTMENT OF VETERANS AFFAIRS,PROFESSIONAL PROGRAM MANAGEMENT AND BUSINESS PROCESS ANALYSIS SUPPORT RELATED SERVICES,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0126&modNumber=P00006&idvAgencyID=&idvPIID=VA119A17D0121&contractType=AWARD,"$10,222,790 ",Delivery/Task Order,Final,36C10X23N0126,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),DJPFLNM698S6,MANAGEMENT SUPPORT TECHNOLOG,VIRGINIA 11,220307471,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business",Self-Certified Small Disadvantaged Business,8/14/23,,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Notice of Termination of Convenience,
DEPARTMENT OF VETERANS AFFAIRS,OPAL TIER 1 ACQUISITION SYSTEMS SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10B25F0054&modNumber=P00001&idvAgencyID=&idvPIID=GS00F132DA&contractType=AWARD,"$8,241,754 ",Delivery/Task Order,Final,36C10B25F0054,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/24/25,3600,36C10B,TECHNOLOGY ACQUISITION CENTER NJ (3,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10B,TECHNOLOGY ACQUISITION CENTER NJ (3,VFPKHHHDDBR2,"CENTEVA, LLC",UTAH 01,843214644,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",1/1/25,,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Termination for Convenience and De-obligation. OPAL Tier 1
(Limit 250 characters)
Acquisition Systems Support.",
DEPARTMENT OF VETERANS AFFAIRS,"Exercise Option Period 1 for the continuation of services to include 205,000 LinkedIn Licenses and Support Services",2/20/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10A23F0061&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD26B&contractType=AWARD,"$2,596,325 ",Delivery/Task Order,Final,36C10A23F0061,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/5/25,3600,36C10B,TECHNOLOGY ACQUISITION CENTER NJ (3,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10A,TECHNOLOGY ACQUISITION CENTER AUST,UER4AJLUB8D5,"THUNDERCAT TECHNOLOGY, LLC",VIRGINIA 11,201905030,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,5/1/23,,,U012,EDUCATION/TRAINING- INFORMATION TECHNOLOGY,541519,OTHER COMPUTER RELATED SERVICES,Termination for Convenience,
DEPARTMENT OF VETERANS AFFAIRS,IDEA PROGRAM SUPPORT,2/20/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24F0106&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA19D0013&contractType=AWARD,"$425,299 ",Delivery/Task Order,Final,36C10X24F0106,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),G6Y7CGJ7JLU6,PROMETHEUS FEDERAL SERVICES LL,VIRGINIA 11,201513255,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business",,9/30/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"IDEA Program Support. Termination for Government Convenience IAW
FAR 52.212-4(l).",
DEPARTMENT OF VETERANS AFFAIRS,STRATEGIC COMMUNICATION & CHANGE MANAGEMENT SERVICES,2/21/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0070&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D007Y&contractType=AWARD,"$37,513,900 ",Delivery/Task Order,Final,36C10D24F0070,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,3600,36C10D,VETERANS BENEFITS ADMIN (36C10D),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36BABD,VBA OFFICE OF AUTOMATED BENEFITS DE,LULHX8RK9JC8,"DYNAMIC INTEGRATED SERVICES, LLC",FLORIDA 01,325013138,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",Self-Certified Small Disadvantaged Business,9/30/24,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Strategic Communication & Change Management Services,
DEPARTMENT OF VETERANS AFFAIRS,DIGITAL MODERNIZATION ANALYTICAL SUPPORT SERVICES TO,2/21/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D23F0030&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA19D0008&contractType=AWARD,"$18,626,583 ",Delivery/Task Order,Final,36C10D23F0030,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,3600,36C10D,VETERANS BENEFITS ADMIN (36C10D),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36BABD,VBA OFFICE OF AUTOMATED BENEFITS DE,YQAFFMK4GGU1,SPREZZATURA MANAGEMENT CONSU,VIRGINIA 08,221013140,Partnership or Limited Liability Partnership,"Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/28/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Digital Modernization Analytical Support Services TO,
DEPARTMENT OF VETERANS AFFAIRS,BPA ORDER,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23F0089&modNumber=P00004&idvAgencyID=&idvPIID=36C10X23A0023&contractType=AWARD,"$48,851,800 ",BPA Call,Final,36C10X23F0089,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),YC33X7BL2AN9,"CRUX FIRM LLC, THE",DISTRICT OF COLUMBIA 98,200042582,"For Profit Organization
Limited Liability Corporation","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",Self-Certified Small Disadvantaged Business,9/26/23,,,U009,EDUCATION/TRAINING- GENERAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Notice of Termination for Convenience
(Limit 250 characters)",
DEPARTMENT OF VETERANS AFFAIRS,"PROGRAM MANAGEMENT SUPPORT SERVICES FOR OCFM 425 I STREET, NW WASHINGTON, DC.",2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10F23F0036&modNumber=P00006&idvAgencyID=&idvPIID=GS10F011BA&contractType=AWARD,"$41,295,153 ",Delivery/Task Order,Final,36C10F23F0036,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,3600,36C10F,OFFICE OF CONSTRUCTION & FACILITIES,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10F,OFFICE OF CONSTRUCTION & FACILITIES,SJ7DG9KSK4U5,REEFPOINT GROUP LLC,MARYLAND 03,214011819,"For Profit Organization
Limited Liability Corporation","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,10/7/23,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Terminate the task order for convenience.,
DEPARTMENT OF VETERANS AFFAIRS,VBA LGY MORTGAGE MARKET DATA SERVICES PURCHASE,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0089&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D0063&contractType=AWARD,"$10,623,913 ",Delivery/Task Order,Final,36C10D24F0089,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,3600,36C10D,VETERANS BENEFITS ADMIN (36C10D),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36BLGY,VBA LOAN GUARANTY SERVICE,XXF1YX4AQXS5,BLAKE WILLSON GROUP LLC,VIRGINIA 08,222015417,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",9/30/24,,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,VBA LGY Mortgage Market Data Services purchase,
DEPARTMENT OF VETERANS AFFAIRS,COMMERCIAL PROFESSIONAL SERVICES STRATEGIC COMMUNICATION PLAN TOPR 0153,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0194&modNumber=P00001&idvAgencyID=&idvPIID=36C10X23D0015&contractType=AWARD,"$6,394,564 ",Delivery/Task Order,Final,36C10X24N0194,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),LULHX8RK9JC8,DYNAMIC INTEGRATED SERVICES LLC,FLORIDA 01,325025634,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/16/24,,,R422,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PU,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Commercial Professional Services Strategic Communication Plan TOPR,
DEPARTMENT OF VETERANS AFFAIRS,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE SUPPORT TO ILEAD EFFORTS TO FULLY ACHIEVE THE THREE IDENTIFIED OUTCOME GOALS CONTAINED WITHIN THE TRAINING ACTION PLAN IN ORDER TO FULLY MEET GAO CRITERIA FOR REMOVAL FROM THE GAO HIGH RISK LIST,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0143&modNumber=P00004&idvAgencyID=&idvPIID=VA119A17D0146&contractType=AWARD,"$4,962,041 ",Delivery/Task Order,Final,36C10X23N0143,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,3600,36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C10X,SAC FREDERICK (36C10X),D72GB943Q923,ADVANCED MANAGEMENT STRATEGIE,VIRGINIA 07,220252043,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/28/23,,,U009,EDUCATION/TRAINING- GENERAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Notice of Termination for Convenience,
